english,transliteration,arabic,audioUrl
washing machine,ɣissēli,غِسّالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-110.mp3
(clothes) dryer,mjáffif,مْجفِّف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-111.mp3
clothes line,ɧábil ɣasīl,حبِل غسيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-112.mp3
laundry basket,sállit ɣasīl,سلِّة غسيل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-113.mp3
to iron,"káwa, yíkwi",كوى، يِكْوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-114.mp3
iron,mákwa,مكْوى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-115.mp3
ironing board,jaɧš káwi,جحْش كَوي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-116.mp3
wrinkled,mjá3lak,مْجعْلك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-117.mp3
This shirt is wrinkled. I need to iron it.,ha-lkánzi mjá3laki. báddi ikwīya.,هالكنْزِة مْجعْلكِة . بدّي إكْوِيا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-118.mp3
"cloth, fabric",ʔmāš,قْماش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-119.mp3
cotton,ʔúʈun,قُطُن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-120.mp3
wool,ʂūf,صوف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-121.mp3
silk,ɧarīr,حرير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-122.mp3
nylon,nāylūn,نايْلون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-123.mp3
linen,kittēn,كِتّان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-124.mp3
Is this t-shirt cotton?,ha-lkánzi ʔúʈníyyi?,هالكنْزِة قُطْنية؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-125.mp3
This shirt is silk.,háydi lkánzi ɧarīr.,هَيْدي الكنْزِة حرير.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-126.mp3
leather,jílid,جِلِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-127.mp3
glasses,3wēnēt [pl.],عْويْنات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-128.mp3
contact lenses,3adasēt [pl.],عدسات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-129.mp3
Do you wear glasses?,ínta btílbus 3wēnēt?,إنْتَ بْتِلْبُس عْويناتْ؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-130.mp3
"Oh, you’re wearing glasses today!",šū háyda! lēbis 3wēnēt ilyōm?,شْو هيدا! لابِس عْويْنات اليوْم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-131.mp3
I usually wear contacts.,ána b-il3ādi bílbus lánsis.,أنا بالعادِة بِلْبُس لنْسِس.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-132.mp3
sunglasses,3wēnēt šámis,عْويْنات شمِس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-133.mp3
reading glasses,3wēnēt la-lʔrāyi,عْويْنات للقْرايِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-134.mp3
I can’t find my glasses.,mā 3am lāʔi 3wēnēti.,ما عم لاقي عْويْناتي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-135.mp3
jewelry,mujawharāt,مُجوْهرات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-136.mp3
ring,xātim (xwātim),خاتِم (خْواتِم),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-137.mp3
wedding ring,máɧbas,محْبس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-138.mp3
engagement ring,máɧbas xúʈbi,محْبس خُطْبِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-139.mp3
bracelet,iswāra (asāwir),إسْوارة (أساوِر),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-140.mp3
earring,ɧálʔa (ɧálaʔ),حلْقة (حلق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-141.mp3
I lost my earring.,ɖayyá3it ɧálaʔi.,ضيّعِت حلقي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-142.mp3
a pair of earrings,ɧalʔāt,حلْقات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-143.mp3
necklace,3áʔid (3ʔūd),عقِد (عْقود),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-144.mp3
brooch,brōš,بْروش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-145.mp3
diamonds,almās,ألْماس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-146.mp3
ruby,yāʔūt,ياقوت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-147.mp3
topaz,yāʔūt áʂfar,ياقوت أصْفر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-148.mp3
emeralds,zumúrrud,زُمُرُّد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-149.mp3
gold,dáhab,دهب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-150.mp3
silver,fúɖɖa,فُضّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-151.mp3
"a diamond ring, gold bracelet, and silver necklace","xātim almās, iswāra dáhab, u 3áʔid fúɖɖa",خاتِم ألْماس، إسْوارة دهب وعقِد فُضّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav06-152.mp3
