english,transliteration,arabic,audioUrl
Ten minus nine equals one.,tís3a min 3ášara ysāwi wāɧid.,تِسْعة مِن عشرة يِساوي واحِد.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-86.mp3
times,fi,في,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-87.mp3
Three times four equals twelve.,talāta f- ʔarbá3a bi-tnāšar.,تلاتة في أرْبعة بِاتْناشر.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-88.mp3
divided by,3ála,على,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-89.mp3
Twenty divided by four equals five.,bití3raf tí3zif 3ála ʔayyə ʔāla?,عِشْرين على أرْبعة بِخمْسة.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-90.mp3
ordinal number,3ádad tartībi,عدد ترْتيبي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-91.mp3
first,ʔáwwal [m.]; ʔūla [f.],أوّل، أولى,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-92.mp3
second,tāni [m.]; tánya [f.],تاني، تانْيَة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-93.mp3
third,tālit [m.]; tálta [f.],تالِت، تالْتة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-94.mp3
fourth,rābi3 [m.]; ráb3a [f.],رابِع، رابْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-95.mp3
fifth,xāmis [m.]; xámsa [f.],خامِس، خامْسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-96.mp3
sixth,sādis [m.]; sádsa [f.],سادِس، سادْسة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-97.mp3
seventh,sābi3 [m.]; sáb3a [f.],سابِع، سابْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-98.mp3
eighth,tāmin [m.]; támna [f.],تامِن، تامْنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-99.mp3
ninth,tāsi3 [m.]; tás3a [f.],تاسِع، تاسْعة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-100.mp3
tenth,3āšir [m.]; 3ášra [f.],عاشِر، عاشْرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-101.mp3
"There are twenty books, and the twentieth book is mine.",fī 3išrīn kitāb w ilkitāb il3išrīn bitā3i.,فيه عِشْرين كِتاب و الكِتاب العِشْرين بِتاعي.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-102.mp3
the last __,ʔāxir __,آخِر __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-103.mp3
fraction,guzʔ (agzāʔ),جُزْء (أجْزاء),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-104.mp3
whole,kull,كُلّ,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-105.mp3
half,nuȿȿ (anȿāȿ),نُصّ (أنْصاص),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-106.mp3
Two halves make a whole.,innuȿȿēn yi3mílu guzʔə kāmil.,النُّصّيْن يِعْمِلوا جُزْء كامِل.,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-107.mp3
a third,tilt (atlāt),تِلْت (أتْلات),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-108.mp3
"a fourth, a quarter",rub3 (arbā3),رُبْع (أرْباع),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-109.mp3
a fifth,xums (axmās),خُمْس (أخْماس),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-110.mp3
three fifths,tálat ʔaxmās,تلات أخْماس,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-111.mp3
one twelfth (1/12),wāɧid 3ála -tnāšar,واحِد على اتْناشر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-112.mp3
three twentieths (3/20),talāta 3ála 3išrīn,تلاتة على عِشْرين,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-113.mp3
percentage,nísba (nísab) miʔawíyya,نِسْبة (نِسب) مِئَوية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-114.mp3
a large percentage,nísba kbīra,نِسْبة كْبيرة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-115.mp3
what percentage of __,kām fi -lmíyya min __,كام في المية مِن __,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-116.mp3
percent,fi -lmíyya,في المية,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-117.mp3
fifty percent of people,xamsīn fi -lmíyya min iššá3b,خمْسين في المية مِن الشّعْب,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav49-118.mp3
