english,transliteration,arabic,audioUrl
deceased,mutawáffi,مُتَوَفّي,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-79.mp3
"corpse, body",gússa (gúsas),جُثّة (جُثث),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-80.mp3
funeral,ganāza,جنازة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-81.mp3
to bury,dáfan [1s2],دفن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-82.mp3
to be buried,itdáfan [7s1],اِتْدفن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-83.mp3
burial,dáfna,دفْنة,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-84.mp3
coffin,tabūt (tawabīt),تابوت (تَوابيت),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-85.mp3
cemetary,mádfan (madāfin),مدْفن (مدافِن),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-86.mp3
cemetary,maqbára (maqābir),مقْبرة (مقابِر),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-87.mp3
grave,qabr (qubūr),قبْر (قُبور),http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-88.mp3
"gravestone, headstone",šāhid (šawāhid) qabr,شاهِد (شَواهِد) قبْر,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-89.mp3
to mourn,ɧízin [1s4],حِزِن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-90.mp3
mourning,ɧuzn,حُزْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-91.mp3
period of mourning,múddit ɧuzn,مُدِّةْ حُزْن,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-92.mp3
to cremate,ɧáraʔ [1s1] gussítu,حرق جُثِّتُه,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-93.mp3
cremation,ɧáraʔ,حرق,http://media.lingualism.com/wp-content/uploads/vocab/ecav/ecav01-94.mp3
